BIKE_ID,RENT_DT,RENT_ID,RENT_NM,RENT_HOLD,RTN_DT,RTN_ID,RTN_NM,RTN_HOLD,USE_MIN,USE_DST,USR_CLS_CD,SEX_CD,BIRTH_YEAR,RENT_STATION_ID,RETURN_STATION_ID,BIKE_SE_CD,START_INDEX,END_INDEX,RNUM
SPB-56786,2026-03-30 01:01:49,04926,대치우성아파트 사거리,0,2026-03-30 01:12:33,01235,잠실트리지움310동 옆,0,10,757.23,USR_001,M,2008,ST-3240,ST-553,일반자전거,0,0,77
SPB-62623,2026-03-30 01:08:13,03513,상왕십리역 1번출구,0,2026-03-30 01:12:33,04122,청계9가교차로 앞,0,4,333.59,USR_001,M,2001,ST-1197,ST-2508,일반자전거,0,0,78
SPB-67312,2026-03-30 01:02:19,05070,마곡13단지힐스테이트마스터 후문(1320동 앞),0,2026-03-30 01:12:35,06177,마곡롯데캐슬르웨스트,0,10,1080.00,USR_001,F,2006,ST-2965,ST-3324,일반자전거,0,0,79
SPB-62304,2026-03-30 01:06:32,00454,종로2가 버스정류장 (종각방향),0,2026-03-30 01:12:37,04713,현대 뜨레비앙 아파트 앞,0,6,1870.00,USR_001,M,1979,ST-1607,ST-2623,일반자전거,0,0,80
SPB-69654,2026-03-30 01:05:50,04841,중화수경공원,0,2026-03-30 01:12:46,04812,묵동 이마트 앞,0,6,1251.41,USR_001,M,2007,ST-3168,ST-2635,일반자전거,0,0,81
SPB-31758,2026-03-30 01:08:20,01075,천동초교 삼거리,0,2026-03-30 01:12:51,03681,길동 마루빌딩,0,4,563.66,USR_001,,1963,ST-1836,ST-2749,일반자전거,0,0,82
SPB-61710,2026-03-30 01:10:03,01759,서울북부지방법원 앞,0,2026-03-30 01:13:10,01719,신도봉사거리 버스정류장,0,3,599.03,USR_001,M,2004,ST-2104,ST-1135,일반자전거,0,0,83
SPB-41124,2026-03-30 01:05:07,01564,419민주묘지역 1번출구,0,2026-03-30 01:13:14,01526,강북종합시장 앞,0,8,1339.09,USR_001,F,2000,ST-2133,ST-1100,일반자전거,0,0,84
SPB-42020,2026-03-30 01:03:32,01407,먹골역 1번출구 뒤,0,2026-03-30 01:13:15,04040,공릉로 26길,0,9,1059.50,USR_001,M,1996,ST-847,ST-2861,일반자전거,0,0,85
SPB-74382,2026-03-30 01:08:22,04393,상원삼거리 장안철교 아래,0,2026-03-30 01:13:18,03582,화양동 우체국,0,4,1552.05,USR_001,M,1999,ST-3265,ST-2321,일반자전거,0,0,86
SPB-33036,2026-03-30 01:07:41,00982,녹번초등학교(서오릉로),0,2026-03-30 01:13:20,00931,역촌파출소,0,5,878.96,USR_001,M,1994,ST-2250,ST-479,일반자전거,0,0,87
SPB-81532,2026-03-30 01:13:05,04641,아메리칸센터,99,2026-03-30 01:13:20,04641,아메리칸센터,99,0,88.17,USR_001,M,1989,ST-3138,ST-3138,새싹자전거,0,0,88
SPB-59592,2026-03-30 01:07:17,00627,장안동삼거리 교통섬,0,2026-03-30 01:13:26,00628,휘봉고등학교 앞,0,6,1180.00,USR_001,M,2006,ST-395,ST-396,일반자전거,0,0,89
SPB-73191,2026-03-30 01:10:45,00500,어린이대공원역 3번출구 앞,0,2026-03-30 01:13:27,00592,건국대학교 학생회관,0,2,664.69,USR_001,M,2006,ST-97,ST-974,일반자전거,0,0,90
SPB-45549,2026-03-30 01:04:13,04137,답십리역 4번출구,0,2026-03-30 01:13:29,00518,청계천 박물관 앞,0,9,1977.09,USR_001,,2003,ST-3316,ST-234,일반자전거,0,0,91
SPB-52688,2026-03-30 01:01:47,01112,마곡엠밸리4단지 정문,0,2026-03-30 01:13:38,01108,공항시장역 2번출구 뒤,0,11,1740.12,USR_001,,1989,ST-513,ST-510,일반자전거,0,0,92
SPB-49532,2026-03-30 01:09:43,00242,신길선원가와인아파트 앞,0,2026-03-30 01:13:57,00279,영등포 푸르지오 아파트 B,0,4,615.06,USR_001,M,2006,ST-291,ST-1353,일반자전거,0,0,93
SPB-73332,2026-03-30 01:05:02,05301,상계주공1단지 버스정류장 옆(대원빌딩 앞),0,2026-03-30 01:13:59,01617,하계동 중평어린이공원 앞,0,8,1386.57,USR_001,M,2002,ST-3015,ST-606,일반자전거,0,0,94
SPB-65751,2026-03-30 01:02:50,00241,신길우성1차아파트 앞 공원,0,2026-03-30 01:14:04,00286,우성아파트 교차로,0,11,1267.59,USR_001,M,2008,ST-290,ST-1652,일반자전거,0,0,95
SPB-41919,2026-03-30 01:02:33,01628,노일초등학교 앞,0,2026-03-30 01:14:05,01672,상계동수락리버시티,0,12,1673.64,USR_001,M,1983,ST-868,ST-1289,일반자전거,0,0,96
SPB-81923,2026-03-30 01:05:32,05301,상계주공1단지 버스정류장 옆(대원빌딩 앞),99,2026-03-30 01:14:06,01617,하계동 중평어린이공원 앞,99,8,1168.41,USR_001,M,2002,ST-3015,ST-606,새싹자전거,0,0,97
SPB-61350,2026-03-30 01:08:39,00508,성수아카데미타워 앞,0,2026-03-30 01:14:06,03571,화양 APT(횡단보도 옆),0,5,756.86,USR_001,,,ST-105,ST-2310,일반자전거,0,0,98
SPB-56330,2026-03-30 01:10:47,03772,길성그랑프리텔아파트,0,2026-03-30 01:14:16,01163,방화동강서기동대앞,0,3,176.27,USR_001,,2000,ST-2482,ST-1254,일반자전거,0,0,99
SPB-74066,2026-03-30 01:08:36,05513,마포음식문화거리,0,2026-03-30 01:14:16,00494,신수동주민센터,0,5,1029.19,USR_001,,1986,ST-3355,ST-2153,일반자전거,0,0,100
SPB-69121,2026-03-30 01:08:40,03764,관문주유소(GS칼택스) 앞,0,2026-03-30 01:14:21,02742,강서구민올림픽체육센터,0,5,1020.28,USR_001,,1976,ST-2613,ST-2059,일반자전거,0,0,101
SPB-31605,2026-03-30 01:04:26,05061,우장산동 가곡어린이공원앞,0,2026-03-30 01:14:23,01157,강서구청,0,9,1632.60,USR_001,M,2005,ST-2888,ST-1069,일반자전거,0,0,102
SPB-73557,2026-03-30 01:08:22,00636,세종대왕기념관 교차로,0,2026-03-30 01:14:27,01321,국민은행 종암동지점 앞,0,6,283.74,USR_001,,,ST-403,ST-655,일반자전거,0,0,103
SPB-33396,2026-03-30 01:01:12,01862,스타즈호텔독산 빌딩 앞,0,2026-03-30 01:14:31,01814,두산위브아파트 옆 상가건물 앞,0,13,1696.78,USR_001,F,1980,ST-1933,ST-625,일반자전거,0,0,104
SPB-67814,2026-03-30 01:01:00,00338,세운스퀘어 앞,0,2026-03-30 01:14:31,03422,성균관대 정문,0,13,1119.56,USR_001,M,2005,ST-154,ST-1819,일반자전거,0,0,105
SPB-58688,2026-03-30 01:11:32,00525,한양대병원사거리,0,2026-03-30 01:14:38,03544,한양대역 3번 출구,0,3,493.76,USR_001,F,2001,ST-241,ST-2326,일반자전거,0,0,106
SPB-52631,2026-03-30 01:10:33,03415,동대문역6번출구,0,2026-03-30 01:14:49,00456,숭인2동 주민센터 입구,0,4,869.30,USR_001,M,1982,ST-1812,ST-1609,일반자전거,0,0,107
SPB-67285,2026-03-30 01:08:52,03772,길성그랑프리텔아파트,0,2026-03-30 01:14:54,01112,마곡엠밸리4단지 정문,0,6,724.46,USR_001,M,1996,ST-2482,ST-513,일반자전거,0,0,108
SPB-54736,2026-03-30 01:00:21,04217,한강공원 망원나들목,0,2026-03-30 01:14:56,04233,코오롱아파트사거리,0,14,2323.18,USR_001,F,1996,ST-2905,ST-2979,일반자전거,0,0,109
SPB-57604,2026-03-30 01:01:00,00230,영등포구청역 7번출구,0,2026-03-30 01:15:06,04571,문래동롯데캐슬아파트,0,14,1680.00,USR_001,M,2003,ST-413,ST-2820,일반자전거,0,0,110
SPB-37126,2026-03-30 01:11:07,00114,홍대입구역 8번출구 앞,0,2026-03-30 01:15:08,03009,홍대입구역 사거리,0,4,557.42,USR_001,,1973,ST-20,ST-2167,일반자전거,0,0,111
SPB-57438,2026-03-30 01:11:57,04108,답십리파크자이아파트 앞,0,2026-03-30 01:15:09,00648,장안동위더스빌옆,0,3,1050.00,USR_001,,1971,ST-2501,ST-1300,일반자전거,0,0,112
SPB-42750,2026-03-30 01:12:06,01471,동양쇼핑 정류소 앞,0,2026-03-30 01:15:21,01469,먹골역 4번출구,0,3,586.63,USR_001,M,2006,ST-2292,ST-2290,일반자전거,0,0,113
SPB-32369,2026-03-30 01:02:21,01911,구로디지털단지역 앞,0,2026-03-30 01:15:38,00237,보라매 두산위브 건너편,0,13,1866.43,USR_001,M,1972,ST-668,ST-286,일반자전거,0,0,114
SPB-51617,2026-03-30 01:05:34,01462,동부시장 북문 앞,0,2026-03-30 01:15:38,00670,삼육서울병원 버스정류장,0,10,1285.91,USR_001,M,1983,ST-2283,ST-2270,일반자전거,0,0,115
SPB-45825,2026-03-30 01:11:05,04423,현대백화점 미아점,0,2026-03-30 01:15:48,01319,종암박스파크,0,4,893.78,USR_001,M,2003,ST-3203,ST-564,일반자전거,0,0,116
SPB-48123,2026-03-30 01:02:58,04663,"불광역3,6호선 버스정류장(동명여고 방면)",0,2026-03-30 01:15:48,00984,상신초등학교앞 버스정류장,0,12,2483.96,USR_001,M,2003,ST-2778,ST-2252,일반자전거,0,0,117
SPB-70873,2026-03-30 01:12:29,03698,명일역 3번출구 옆,0,2026-03-30 01:15:49,01033,고덕동 아남아파트,0,3,812.03,USR_001,M,2008,ST-3085,ST-1050,일반자전거,0,0,118
SPB-45957,2026-03-30 01:01:39,00230,영등포구청역 7번출구,0,2026-03-30 01:15:50,05883,영문초사거리,0,14,1108.70,USR_001,F,1974,ST-413,ST-3330,일반자전거,0,0,119
SPB-45624,2026-03-30 01:09:59,05886,신풍역 2번출구,0,2026-03-30 01:15:51,04576,보라매sk뷰 108동 앞,0,5,716.25,USR_001,M,2007,ST-3359,ST-2800,일반자전거,0,0,120
SPB-63472,2026-03-30 01:03:18,02730,마곡메가박스 앞,0,2026-03-30 01:16:04,06171,월드빌딩 앞,0,12,2370.94,USR_001,M,1996,ST-2047,ST-3276,일반자전거,0,0,121
SPB-50679,2026-03-30 01:15:34,01829,홈플러스 금천점 앞,0,2026-03-30 01:16:05,01829,홈플러스 금천점 앞,0,0,0.00,USR_001,M,1970,ST-636,ST-636,일반자전거,0,0,122
SPB-55677,2026-03-30 01:02:48,02502,서초역1번출구 앞,0,2026-03-30 01:16:06,04349,삼성화재서초타워,0,13,1822.18,USR_001,M,1980,ST-1553,ST-3361,일반자전거,0,0,123
SPB-74501,2026-03-30 01:08:02,01186,송정중학교,0,2026-03-30 01:16:07,01167,마곡수명산파크3단지 교차로,0,8,1269.65,USR_001,M,1992,ST-1647,ST-1352,일반자전거,0,0,124
SPB-50191,2026-03-30 01:16:04,05061,우장산동 가곡어린이공원앞,0,2026-03-30 01:16:08,05061,우장산동 가곡어린이공원앞,0,0,0.00,USR_001,M,2000,ST-2888,ST-2888,일반자전거,0,0,125
SPB-35251,2026-03-30 01:04:39,01690,도봉운전면허시험장 버스정류장 옆,0,2026-03-30 01:16:12,01692,온곡초교 교차로,0,11,929.19,USR_001,F,1980,ST-1641,ST-1672,일반자전거,0,0,126
